clock,horizon,mean_impact_bps,fraction_of_completion,fraction_of_size_endpoint,reference_quote_completion_bps,reference_size_endpoint_bps,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
z,2.9166666666666665,1.4473942755534501,1.032146716891572,0.8690541337190759,1.4023144693154128,1.665482297816587,0.03319560725818381,35773,35860,normal,aggressive,random_n6,random_traders,7,True
z,3.0,1.4409132240506897,1.027525034918965,0.8651627375083465,1.4023144693154128,1.665482297816587,0.033718319210296784,35773,35860,normal,aggressive,random_n6,random_traders,7,True
seconds,0.1,1.7472277870886765,1.2318669048117994,1.0459875874240743,1.418357600373729,1.670409676076107,0.020175272057629853,35463,35697,normal,aggressive,random_n6,random_traders,23,True
seconds,1.0,1.825212318397372,1.2868491824039574,1.0926734588157474,1.418357600373729,1.670409676076107,0.020881224526632106,35463,35697,normal,aggressive,random_n6,random_traders,23,True
seconds,5.0,1.8050316969126645,1.272621020564242,1.0805922180436556,1.418357600373729,1.670409676076107,0.021980871808084196,35463,35697,normal,aggressive,random_n6,random_traders,23,True
seconds,15.0,1.6609943124211075,1.1710687854624569,0.9943634404243176,1.418357600373729,1.670409676076107,0.024115189666835547,35463,35697,normal,aggressive,random_n6,random_traders,23,True
seconds,30.0,1.500603848708551,1.0579869620419775,0.898344801398397,1.418357600373729,1.670409676076107,0.02685116455564789,35463,35697,normal,aggressive,random_n6,random_traders,23,True
seconds,60.0,1.373835857892413,0.9686103543495768,0.8224544419065126,1.418357600373729,1.670409676076107,0.03183779814689945,35463,35697,normal,aggressive,random_n6,random_traders,23,True
seconds,180.0,1.2846023249968024,0.9056970714989767,0.7690342934401642,1.418357600373729,1.670409676076107,0.04717907404462847,35463,35697,normal,aggressive,random_n6,random_traders,23,True
seconds,600.0,1.2969445181439279,0.9143988214271144,0.776423015694287,1.418357600373729,1.670409676076107,0.07714252127581957,35463,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.0,1.4166218796356165,1.0,0.8491630618951749,1.4166218796356165,1.6682565966470309,0.019315212258250614,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.0833333333333333,1.7634324339142569,1.2448151897582205,1.0570510780287137,1.4166218796356165,1.6682565966470309,0.02120694059551504,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.1666666666666667,1.7398589022311381,1.2281745236623514,1.0429204390547702,1.4166218796356165,1.6682565966470309,0.02200749683334978,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.25,1.7077149977886839,1.2054839914148032,1.023652477215411,1.4166218796356165,1.6682565966470309,0.022726552494045597,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.3333333333333333,1.6749138580919636,1.182329513732193,1.0039905500498623,1.4166218796356165,1.6682565966470309,0.023345032257416028,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.4166666666666665,1.6419138913971427,1.1590346831431657,0.9842094403805546,1.4166218796356165,1.6682565966470309,0.024033768869346637,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.5,1.6226365915651333,1.1454267471730055,0.9726540838060598,1.4166218796356165,1.6682565966470309,0.02476517761311982,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.5833333333333333,1.6010263993726648,1.130172011591746,0.959700325831476,1.4166218796356165,1.6682565966470309,0.025394915936051775,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.6666666666666665,1.5804259937147467,1.1156300890406012,0.9473518623521036,1.4166218796356165,1.6682565966470309,0.025992876845453986,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.75,1.5630986689520736,1.1033986495776373,0.9369653757663478,1.4166218796356165,1.6682565966470309,0.026576719909030565,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.8333333333333333,1.5446273803040196,1.0903596806660425,0.9258931650014217,1.4166218796356165,1.6682565966470309,0.027103028853603266,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,1.9166666666666665,1.5341124307602254,1.0829371286816705,0.9195902080312963,1.4166218796356165,1.6682565966470309,0.02775769856616826,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,2.0,1.5191692217006016,1.072388647626537,0.9106328275601759,1.4166218796356165,1.6682565966470309,0.028219238820287196,35605,35697,normal,aggressive,random_n6,random_traders,23,True
z,2.083333333333333,1.5103151321488775,1.0661385044662453,0.9053254368568995,1.4166218796356165,1.6682565966470309,0.028777004434916514,35605,35697,normal,aggressive,random_n6,random_traders,23,True
