clock,horizon,mean_impact_bps,fraction_of_completion,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
z,1.6666666666666665,0.6884027504131042,1.1338488193010876,0.055470143314872114,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,1.75,0.6899120989224048,1.1363348248031828,0.05624829457835251,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,1.8333333333333333,0.6863319157886962,1.1304380058020949,0.05732812876389449,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,1.9166666666666665,0.6911135336618377,1.1383136741903415,0.05866576257254634,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.0,0.6787823997598155,1.1180034101667575,0.05957107600656708,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.083333333333333,0.6697782633836821,1.1031729502466332,0.060621373950071875,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.1666666666666665,0.6633924444705595,1.092655047419299,0.06091690582052255,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.25,0.6776792347914358,1.116186418157151,0.061958688372147526,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.333333333333333,0.6746852355568926,1.111255086178832,0.06266384318142053,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.4166666666666665,0.6759103569481355,1.1132729491843583,0.06331556031992044,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.5,0.671969618376868,1.1067822694572296,0.06433298105106208,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.583333333333333,0.664168875871905,1.093933885755078,0.06535955548557597,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.6666666666666665,0.6638041894655408,1.093333221026439,0.06642965316161631,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.75,0.6518076447027019,1.0735740493687504,0.067340202228808,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.833333333333333,0.635488118156469,1.0466946159340424,0.06810090119871555,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,2.9166666666666665,0.6354837173114459,1.046687367425912,0.06919013469609375,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
z,3.0,0.6441957765100276,1.0610367552371391,0.07034689364685497,5395,5405,normal,aggressive,threshold_wait20s,time_threshold,71,False
